Source Account,Tweets,Date,Compound,Positive,Negative,Neutral,Tweets Ago
CNN,"A 74-year-old man has been discovered alive five days after his senior living apartment complex in Washington, DC,… https://t.co/oRPwu1mOrA",Mon Sep 24 19:31:07 +0000 2018,0.3818,0.133,0.0,0.867,1
CNN,RT @CNNPolitics: President Trump discusses his relationship with North Korean leader Kim Jong Un and says “we will be having a second summi…,Mon Sep 24 19:23:57 +0000 2018,0.0,0.0,0.0,1.0,2
CNN,The nonprofit that runs the National Sexual Assault Hotline says there was a 57% spike in calls after Christine Bla… https://t.co/oJhCN4ibBL,Mon Sep 24 19:21:06 +0000 2018,-0.5859,0.0,0.167,0.833,3
CNN,"Senate Majority Leader Mitch McConnell is speaking on the Senate floor, where he's addressing the allegations again… https://t.co/ZD7lrH8Tfl",Mon Sep 24 19:14:21 +0000 2018,0.0,0.0,0.0,1.0,4
CNN,Rod Rosenstein's departure would turn the Mueller investigation on its head | Analysis by @CillizzaCNN… https://t.co/bndrJXIpHc,Mon Sep 24 19:11:05 +0000 2018,0.0,0.0,0.0,1.0,5
CNN,Indonesian teen rescued after 49 days drifting at sea https://t.co/l2DcmfDMJS https://t.co/C4DiViK0Vp,Mon Sep 24 19:04:04 +0000 2018,0.4215,0.219,0.0,0.781,6
CNN,"RT @CNNnewsroom: ""I don’t know, Colonel Mustard might have done it in the parlor, nobody knows what’s really going on.” @RepCohen reacts to…",Mon Sep 24 18:59:54 +0000 2018,0.0,0.0,0.0,1.0,7
CNN,"""One Tree Hill"" cast use anniversary to help victims of Hurricane Florence https://t.co/YRmNtNdHyZ https://t.co/sLU7oLABCo",Mon Sep 24 18:57:03 +0000 2018,0.1027,0.159,0.135,0.706,8
CNN,Senate Republican leadership has hardened its resolve to move forward with President Trump's Supreme Court nominati… https://t.co/ow1CSCitsS,Mon Sep 24 18:50:05 +0000 2018,0.7351,0.292,0.0,0.708,9
CNN,How a Romanian refugee-turned-CEO found the American Dream https://t.co/kqbW16wVCl https://t.co/LNGil0X1ok,Mon Sep 24 18:43:07 +0000 2018,0.25,0.2,0.0,0.8,10
CNN,New device offers hope for people with heart failure https://t.co/OTAut7K2x4 https://t.co/fTq2blFTxC,Mon Sep 24 18:36:06 +0000 2018,-0.1027,0.191,0.217,0.592,11
CNN,"Flooding is headed to Georgetown, South Carolina, and forecasters don't know how bad it will be… https://t.co/K5KbWP2HKc",Mon Sep 24 18:29:05 +0000 2018,0.431,0.151,0.0,0.849,12
CNN,"""The Bachelor: Vietnam"" goes viral https://t.co/iJAn2pHgtj https://t.co/vyZrKXDCfk",Mon Sep 24 18:22:03 +0000 2018,0.0,0.0,0.0,1.0,13
CNN,Secretary of State Mike Pompeo and US Ambassador to the United Nations Nikki Haley say they've never discussed invo… https://t.co/fjAExdOT54,Mon Sep 24 18:15:04 +0000 2018,0.4215,0.128,0.0,0.872,14
CNN,"Demonstrators gathered outside of the office of Sen. Susan Collins, who is viewed as potential swing vote, to prote… https://t.co/NXd9z9IVri",Mon Sep 24 18:08:00 +0000 2018,0.0,0.0,0.0,1.0,15
